N_modes,N_F,N_M,mean_error,std_error,mean_time,mean_iters,count
1,2,17,0.0778088364,0.08823698453503337,19.6396,639.3,10
1,2,18,0.274687585,0.42200155847118637,17.490199999999998,574.0,10
1,2,19,1.76916823,3.7329239649726835,11.8393,421.3,10
1,2,20,0.203502427,0.1856917737337964,14.0554,475.1,10
1,3,1,0.01010277616046,0.026372886940092787,4.2877,626.6,10
1,3,2,0.02473474479,0.026355286302696297,4.2170000000000005,512.4,10
1,3,3,0.03220722476,0.04778288786160362,3.6194,422.0,10
1,3,4,0.00871709047,0.007258732056935476,7.9321,766.9,10
1,3,5,0.154603184,0.27202844177480034,6.3718,542.0,10
1,3,6,0.026827431680000003,0.04483456569268312,7.707599999999999,598.0,10
1,3,7,0.17210130750000002,0.3695205941804832,12.0076,777.4,10
1,3,8,0.04923418310000001,0.08931346120557454,7.5267,517.5,10
1,3,9,2.9506834119,8.633043989463017,11.6099,635.4,10
1,3,10,1.0471532461000002,2.8014312519235354,13.979099999999999,711.2,10
1,3,11,0.0534661265,0.08377302024709841,11.243199999999998,525.5,10
1,3,12,0.0952972061,0.16839506280528646,11.655199999999999,484.4,10
1,3,13,0.07090738719999999,0.0902999238054044,14.122800000000002,594.2,10
1,3,14,0.5747683527,1.2498715262106348,18.3804,679.8,10
1,3,15,0.1516799616,0.14850413506365379,15.802299999999999,633.5,10
1,3,16,0.1677814739,0.2566594490985203,11.6898,459.9,10
1,3,17,0.1099002085,0.15534127811683593,18.8352,681.0,10
1,3,18,0.06978393320000001,0.08204408145310996,17.282999999999998,563.2,10
1,3,19,0.2997527358,0.5292931140745438,22.604,687.1,10
1,3,20,1.632696418,3.985403921903754,16.6873,450.4,10
1,4,1,0.00091060854475,0.0012367825535367733,5.786,713.2,10
1,4,2,0.021566916377,0.059115540765898145,8.334900000000001,904.8,10
1,4,3,0.010395833194,0.015051633561275469,4.5319,474.9,10
1,4,4,0.053719297340000007,0.09198286726655142,4.6623,463.0,10
1,4,5,0.02212912,0.04342264667360298,8.4678,578.4,10
1,4,6,0.00820742387,0.010775191447877431,7.1348,512.2,10
1,4,7,0.06420736597,0.15367129393575904,11.027,710.5,10
1,4,8,0.04148780693,0.04341115732977422,12.0579,754.0,10
1,4,9,0.0406907331,0.05160892052501227,8.8259,485.3,10
1,4,10,0.0763118602,0.09291412921131834,10.7484,543.9,10
1,4,11,0.052424579900000004,0.07531853299543141,15.3419,665.5,10
1,4,12,0.1398648823,0.3568912211641253,12.127500000000001,529.3,10
1,4,13,0.0682659397,0.1563054300376466,15.098500000000001,594.0,10
1,4,14,0.13122603867,0.19030547166138412,13.9147,559.4,10
1,4,15,0.5562750711,0.958770734914438,14.611799999999999,461.2,10
1,4,16,2.7986493329999997,8.539109983475011,18.859199999999998,559.4,10
1,4,17,0.219800067,0.34142683813337615,23.2332,615.7,10
1,4,18,0.2301714903,0.42274083448316313,20.4516,597.8,10
1,4,19,0.0989821363,0.17382326474934312,14.4553,495.3,10
1,4,20,0.610625811,1.3785502839973731,17.8345,485.5,10
